filepath,readable_date,readable_time,frames,duration,ROI
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-05/cyclesix/owl/2026-02-05_14-54-41-742726.mp4,05.02.2026,14h54m41s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-05/cyclesix/owl/2026-02-06_14-08-23-251082.mp4,06.02.2026,14h08m23s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-05/cyclesix/owl/2026-02-09_11-24-23-252900.mp4,09.02.2026,11h24m23s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-06/cyclesix/owl/2025-11-26_11-41-16-799331.mp4,26.11.2025,11h41m16s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-06/cyclesix/owl/2026-02-02_15-18-06-620344.mp4,02.02.2026,15h18m06s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-06/cyclesix/owl/2026-02-02_16-48-37-925808.mp4,02.02.2026,16h48m37s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-06/cyclesix/owl/2026-02-03_09-52-48-498086.mp4,03.02.2026,09h52m48s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-06/cyclesix/owl/2026-02-03_13-35-32-312551.mp4,03.02.2026,13h35m32s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-06/cyclesix/owl/2026-02-03_15-01-00-183557.mp4,03.02.2026,15h01m00s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-06/cyclesix/owl/2026-02-04_11-38-03-139655.mp4,04.02.2026,11h38m03s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-06/cyclesix/owl/2026-02-04_13-05-43-048045.mp4,04.02.2026,13h05m43s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-06/cyclesix/owl/2026-02-04_14-21-04-072723.mp4,04.02.2026,14h21m04s,,,
