filepath	readable_date	readable_time	login	status_website	submitted	tentativas	qualtrics
./aixlab-08/cyclesix/cyclesix_screen_20260204_141008.mp4	04.02.2026	14h10m08s					
./aixlab-08/cyclesix/cyclesix_screen_20260204_161454.mp4	04.02.2026	16h14m54s					
./aixlab-08/cyclesix/cyclesix_screen_20260205_102245.mp4	05.02.2026	10h22m45s					
./aixlab-08/cyclesix/cyclesix_screen_20260205_113520.mp4	05.02.2026	11h35m20s					
./aixlab-08/cyclesix/cyclesix_screen_20260205_145323.mp4	05.02.2026	14h53m23s					
./aixlab-08/cyclesix/cyclesix_screen_20260212_114854.mp4	12.02.2026	11h48m54s					
./aixlab-10/cyclesix/cyclesix_screen_20260202_144714.mp4	02.02.2026	14h47m14s					
./aixlab-10/cyclesix/cyclesix_screen_20260202_160116.mp4	02.02.2026	16h01m16s					
./aixlab-10/cyclesix/cyclesix_screen_20260203_111028.mp4	03.02.2026	11h10m28s					
./aixlab-10/cyclesix/cyclesix_screen_20260203_144850.mp4	03.02.2026	14h48m50s					
./aixlab-10/cyclesix/cyclesix_screen_20260203_160459.mp4	03.02.2026	16h04m59s					
./aixlab-10/cyclesix/cyclesix_screen_20260204_094154.mp4	04.02.2026	09h41m54s					
./aixlab-10/cyclesix/cyclesix_screen_20260204_112240.mp4	04.02.2026	11h22m40s					
./aixlab-10/cyclesix/cyclesix_screen_20260204_125320.mp4	04.02.2026	12h53m20s					
./aixlab-10/cyclesix/cyclesix_screen_20260204_162952.mp4	04.02.2026	16h29m52s					
./aixlab-10/cyclesix/cyclesix_screen_20260205_102851.mp4	05.02.2026	10h28m51s					
./aixlab-10/cyclesix/cyclesix_screen_20260205_113045.mp4	05.02.2026	11h30m45s					
./aixlab-10/cyclesix/cyclesix_screen_20260205_145323.mp4	05.02.2026	14h53m23s					
./aixlab-10/cyclesix/cyclesix_screen_20260206_140719.mp4	06.02.2026	14h07m19s					
./aixlab-10/cyclesix/cyclesix_screen_20260206_145722.mp4	06.02.2026	14h57m22s					
./aixlab-10/cyclesix/cyclesix_screen_20260206_152343.mp4	06.02.2026	15h23m43s					
./aixlab-13/cyclesix/cyclesix_screen_20260202_162022.mp4	02.02.2026	16h20m22s					
./aixlab-13/cyclesix/cyclesix_screen_20260203_100044.mp4	03.02.2026	10h00m44s					
./aixlab-13/cyclesix/cyclesix_screen_20260203_133003.mp4	03.02.2026	13h30m03s					
./aixlab-13/cyclesix/cyclesix_screen_20260203_162339.mp4	03.02.2026	16h23m39s					
./aixlab-13/cyclesix/cyclesix_screen_20260204_095431.mp4	04.02.2026	09h54m31s					
./aixlab-13/cyclesix/cyclesix_screen_20260204_112922.mp4	04.02.2026	11h29m22s					
