filepath	readable_date	readable_time	status_website	login	submitted	tentativas	qualtrics	comments
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-15/cyclesix/cyclesix_screen_20260202_145603.mp4	02.02.2026	14h56m03s	online	4	0	6	1	
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-15/cyclesix/cyclesix_screen_20260202_164011.mp4	02.02.2026	16h40m11s	online	61	1	2	1	
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-15/cyclesix/cyclesix_screen_20260203_132815.mp4	03.02.2026	13h28m15s	online	79	0	7	1	
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-15/cyclesix/cyclesix_screen_20260203_150725.mp4	03.02.2026	15h07m25s	online	56	0	2	1	
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-15/cyclesix/cyclesix_screen_20260204_162528.mp4	04.02.2026	16h25m28s	online	13	1	1	0	qualtrics doesn't show on video at all
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-15/cyclesix/cyclesix_screen_20260205_114110.mp4	05.02.2026	11h41m10s	online	96	0	0	1	exclude. they didn't fill out half the fields in cyclesix
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-15/cyclesix/cyclesix_screen_20260205_145324.mp4	05.02.2026	14h53m24s	online	108	1	1	1	exclude. didn't read the ampara, filled out thin 5 minutes with half the metrics missing
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-15/cyclesix/cyclesix_screen_20260206_140655.mp4	06.02.2026	14h06m55s	online	120	1	1	1	
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-19/cyclesix/cyclesix_screen_20260202_162846.mp4	02.02.2026	16h28m46s	online	00001	1	7	1	repeated cyclesix after submit failed 5 times
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-19/cyclesix/cyclesix_screen_20260203_113445.mp4	03.02.2026	11h34m45s	online	0002	0	4	1	
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-19/cyclesix/cyclesix_screen_20260203_133532.mp4	03.02.2026	13h35m32s	online	71	0	3	0	exclude, qualtrics missing
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-19/cyclesix/cyclesix_screen_20260203_150108.mp4	03.02.2026	15h01m08s	online	49	0	3	even repeating, cyclesix was filled out in 5exclude since half the values from the ampara description are missing	exclude
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-19/cyclesix/cyclesix_screen_20260203_155331.mp4	03.02.2026	15h53m31s	online	50	0	"	2"	1	a bit too quick
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-19/cyclesix/cyclesix_screen_20260204_141728.mp4	04.02.2026	14h17m28s	online	63	0	4	1	
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-19/cyclesix/cyclesix_screen_20260204_160547.mp4	04.02.2026	16h05m47s	online	14	1	3	1	
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-19/cyclesix/cyclesix_screen_20260205_114126.mp4	05.02.2026	11h41m26s	online	90	0	4	1	
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-19/cyclesix/cyclesix_screen_20260205_145324.mp4	05.02.2026	14h53m24s	online	107	1	2	1	
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-19/cyclesix/cyclesix_screen_20260206_140647.mp4	06.02.2026	14h06m47s	online	119	1	3	1	
